ENC_COUNTY,ENC_STATE,STATE_ABRV,NUM_ENC,NUM_EST
Windham,Connecticut ,CT,2,2
New London,Connecticut ,CT,3,3
New Haven,Connecticut ,CT,1,1
Middlesex,Connecticut ,CT,6,6
Litchfield,Connecticut ,CT,10,10
Hartford,Connecticut ,CT,2,2
Fairfield,Connecticut ,CT,7,7
Tolland,Connecticut ,CT,0,0.01
